photo,comment,comment_en,sequence_length
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/db5b70d94ee1362bb8ccd3edb86d897edf5f8861.jpg,ไม่มีฝาปิด ช่องน้ำออกของที่สูบน้ำค่ะ,There is no lid to the water pumping.,36
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/6fb8c3d410f98d8bdf6b787d457a367db0f3a9fb.jpg,ทางเท้าขึ้นสะพานลอยชำรุดหัก,The sidewalk on the overpass is damaged.,27
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/410a3863b6c5a9db689ad89afc797e7b048a65b7.jpg,เทศกิจและตำรวจดำเนินจับมาสอง สามรอบตามที่แจ้งไป แต่เช้านี้ ยังพบการจอดจำนวนมาก อาจจำเป็นต้องแก้ไขปัญหาระยะเวลา สอบถามปัญหา ทำป้ายเตือน เพื่อให้การเอาเปรียบทางเท้าตรงนี้ ลดน้อยลง,"The municipality and the police have taken two arrests. Three rounds, as reported from this morning, still found a lot of parking It may be necessary to solve the problem of inquiring about the warning signs to reduce the sidewalk.",177
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/e12ae6deb0bb0aa122f893b213806052f881e0d1.jpg,แยกนี้เปิดไฟเขียวน้อยมากเลยค่ะ ไฟเขียวสำหรับเลี้ยวขวาไปจากเจริญนครมุ่งไปท่าพระ ทำให้รถติดมาก,"This intersection turned on very little green light. Green light for turning right from Charoen Nakhon, aiming to Tha Phra Causing a lot of traffic jams",92
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/b332deb96d525fbb6a4f718ff13c7d6cabe6523e.jpg,รบกวนช่วยนำกรวย หรือ แบริเออร์ ไปว่าป้องกันคนขับรถทับเส้นทึบเข้ามาเบียดเพื่อขึ้นสะพานลอยฟ้า ช่วงเช้า รถเบียดเฉียดชนบ่อยมาก,Please help bring the cone or barrier to protect the driver over the solid line to squeeze in order to get on the sky bridge in the morning.,122
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/c4cb27d8200c6de48ae3134a76070aa18e4ad716.jpg,ต่อยอดการแยกขยะ เปลี่ยนขยะพลาสติกเป็นน้ำมัน ดร.แอ๊ด พีรดา ปฏิทัศน์ สร้างเครื่อง Pyrolysis ใช้งานได้จริงที่สุพรรณบุรี กทม.น่าจะเอามาใช้บ้างนะคะ หมู่บ้านนันทวัน-วัชรพล ยินดีร่วมเป็นชุมชน prototype แยกขยะพลาสติก เพื่อเปลี่ยนเป็นน้ำมันเชื้อเพลิงค่ะดร.เมตตา วิเศษสมบัติ ก็สร้างเครื่องนี้ในสเกลใหญ่ มีอ.ดร.ธราพงษ์ ที่จุฬา เป็นที่ปรึกษาทั้ง 2 ท่านนี้นะคะ,Extending waste separation Change plastic waste into oil. Dr. Add Peerada. Bangkok should be used some. Nantawan-Watcharapol Village Welcome to be a Prototype community separating plastic waste. To change to fuel. Dr. Metta Wisetsombat also built this machine in a large scale. There are Dr. Tharapong at Chula as both of these consultants.,351
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/f8477e1f625eedef4ea8f3cb43e67a94afec74b4.jpg,รถขยะ มาเก็บช่วงเวลาเข้าเรียน ทำให้รถติด รบกวนช่วยดูหน่อยครับ,"The garbage truck came to collect the time to study, causing the traffic jam to help.",61
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/0aafd5fdd28f8f81aa402011096595ffe259bcd6.jpg,จอดบนทางเท้าทุกวัน,Parked on the sidewalk every day,18
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/b79b0d808b5629b1648b800fc8b0a5cd42f8e9ea.jpg,หน้า ร้าน นินชา ชานมไข่มุข ปากซอยอ่อนนุช37 จอดแบบนี้ทุกวันไม่เป็น อะไรใช่หรือไม่ เค้าเสียเงิน จอดบนทางเท้า ได้ใช่หรือไม่,"In front of the ninha shop, milk tea, eggs, at the mouth of Soi On Nut 37 Park like this every day. What, right? Can he lose money on the sidewalk?",120
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/27560f1233d56f4f8b6a10446c70e147f6c56cf1.jpg,ยังมีน้ำขังบนถนนในซอยลาดพร้าว 35 เขตจตุจักรและสำนักระบายน้ำยังไม่มีการแก้ไข,"There is still water on the road in Soi Lat Phrao 35, Chatuchak District and the drainage office has not been resolved.",75
